id,region,units,unit_price
1000,East,8,76.00
1001,North,16,41.50
1002,South,14,71.25
1003,West,9,39.25
1004,South,11,26.50
1005,North,5,70.50
1006,North,12,16.25
1007,North,3,65.50
1008,North,15,36.25
1009,North,9,56.00
1010,North,3,80.75
1011,West,10,40.25
1012,West,24,40.50
1013,North,8,74.25
1014,West,7,29.75
1015,West,16,72.00
1016,South,1,50.25
1017,West,13,16.75
1018,South,1,31.00
1019,South,9,50.00
1020,South,22,74.50
1021,West,14,54.50
1022,West,23,59.00
1023,West,24,12.75
1024,North,5,10.50
1025,East,13,33.75
1026,South,5,65.25
1027,East,23,67.75
1028,North,13,38.75
1029,East,5,21.00
